,occ,0,1,emp_2018,wage,sqrt_emp
593,"Social work teachers, postsecondary",-24.53112,-13.5742,17.3,72070.0,4.159326868617084
594,Sociologists,-27.291967,-13.444197,3.2,83420.0,1.7888543819998317
595,"Sociology teachers, postsecondary",-26.96409,-15.133514,17.0,75290.0,4.123105625617661
596,Soil and plant scientists,-31.224836,-0.16958049,17.8,63200.0,4.219004621945797
597,Solar photovoltaic installers,13.896865,13.706713,12.0,44890.0,3.4641016151377544
598,Sound engineering technicians,1.7462398,15.631013,15.8,54740.0,3.9749213828703582
599,"Special education teachers, all other",-17.738323,5.867483,36.6,61190.0,6.04979338490167
600,"Special education teachers, kindergarten and elementary school",-15.164607,-11.736469,193.0,60460.0,13.892443989449804
601,"Special education teachers, preschool",-13.420456,-9.35661,23.0,60000.0,4.795831523312719
602,Special effects artists and animators,0.7009181,-10.840861,67.5,75270.0,8.215838362577491
603,Speech-language pathologists,-12.98094,-10.248886,162.6,79120.0,12.751470503436064
604,Stationary engineers and boiler operators,5.5680556,19.980476,34.4,62150.0,5.865151319446072
605,Statistical assistants,-3.6387656,-19.92907,10.8,49870.0,3.286335345030997
606,Statisticians,-29.812243,-11.542199,42.7,91160.0,6.534523701081817
607,Stonemasons,17.745502,12.246815,16.8,43280.0,4.09878030638384
608,Structural iron and steel workers,22.019533,14.724056,77.0,55040.0,8.774964387392123
609,Structural metal fabricators and fitters,31.674213,2.035606,78.5,40390.0,8.860022573334675
610,Subway and streetcar operators,21.483143,-3.13415,10.7,67880.0,3.271085446759225
611,Surgical technologists,-2.493307,7.687878,111.3,48300.0,10.549881515922348
612,Survey researchers,-29.539742,-9.72568,12.2,59170.0,3.492849839314596
613,Surveying and mapping technicians,2.6773577,-3.4515347,58.4,45010.0,7.64198926981712
614,Surveyors,-32.797928,5.1801515,48.0,63420.0,6.928203230275509
615,"Switchboard operators, including answering service",10.213829,-14.4563265,69.9,30610.0,8.360621986431392
616,"Tailors, dressmakers, and custom sewers",17.74039,3.6779215,37.3,31520.0,6.107372593840988
617,"Tank car, truck, and ship loaders",8.986977,18.881626,12.2,42360.0,3.492849839314596
618,Tapers,27.208344,-7.7153025,21.8,59070.0,4.669047011971501
619,"Tax examiners and collectors, and revenue agents",-6.8778887,-15.035063,57.6,54890.0,7.58946638440411
620,Tax preparers,-1.9475315,-15.432212,88.4,43080.0,9.402127418834526
621,Technical writers,0.45083797,-7.411334,58.4,72850.0,7.64198926981712
622,"Telecommunications equipment installers and repairers, except line installers",11.194442,6.267122,215.7,57910.0,14.68672870315238
